,Hardware,Name,Price,SKU,Info,Image,Description,Power,PCIE Slot
22,CPU,Core i7-9700F Coffee Lake 3.0 GHz LGA 1151 Boxed Processor,189.99,063990,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0617976_063990.jpg,"9th Gen Intel Core i7-9700f desktop processor, without processor graphics. Features Intel Turbo Boost Technology 2.0 and offers high performance for enthusiast Gaming, creating, and overall productivity. Thermal solution included in the box. Only compatible with 300 Series chipset based motherboard. 65W.",65,N/A
23,CPU,Core i7-9700F Coffee Lake 3.0 GHz LGA 1151 Boxed Processor,189.99,063990,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/0617976_063990.jpg,"9th Gen Intel Core i7-9700f desktop processor, without processor graphics. Features Intel Turbo Boost Technology 2.0 and offers high performance for enthusiast Gaming, creating, and overall productivity. Thermal solution included in the box. Only compatible with 300 Series chipset based motherboard. 65W.",65,N/A
24,CPU,Core i9-10980XE Cascade Lake 3.0 GHz LGA 2066 Boxed Processor,809.99,068783,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618406_068783_01_front_thumbnail.jpg,"Upgrade your system and boost productivity with this Intel Core i9 Extreme Edition processor. The 18-core design and maximum turbo frequency of 4.60GHz support high-performance data processing and rendering, while Intel Turbo Boost Max Technology 3.0 automatically makes adjustments for enhanced efficiency. This AES-NI-enabled Intel Core i9 Extreme Edition processor offers compatibility with data encryption and supports up to 256GB of RAM across four channels for expandability.",165,N/A
25,CPU,Core i9-10980XE Cascade Lake 3.0 GHz LGA 2066 Boxed Processor,809.99,068783,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618406_068783_01_front_thumbnail.jpg,"Upgrade your system and boost productivity with this Intel Core i9 Extreme Edition processor. The 18-core design and maximum turbo frequency of 4.60GHz support high-performance data processing and rendering, while Intel Turbo Boost Max Technology 3.0 automatically makes adjustments for enhanced efficiency. This AES-NI-enabled Intel Core i9 Extreme Edition processor offers compatibility with data encryption and supports up to 256GB of RAM across four channels for expandability.",165,N/A
26,CPU,Core i9-10900 Comet Lake 2.8GHz Ten-Core LGA 1200 Boxed Processor,389.99,108639,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623438_108639_01_front_thumbnail.jpg,10th Gen Intel Core i9-10900 desktop processor. Features Intel Turbo Boost Max Technology 3.0. Built for the everyday desktop user; this processor delivers amazing performance for everything from enthusiast gaming and creation to productivity Thermal solution NOT included in the box. ONLY compatible with 400 series chipset based motherboard.,65,N/A
27,CPU,Core i9-10900 Comet Lake 2.8GHz Ten-Core LGA 1200 Boxed Processor,389.99,108639,LGA 1200,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/623438_108639_01_front_thumbnail.jpg,10th Gen Intel Core i9-10900 desktop processor. Features Intel Turbo Boost Max Technology 3.0. Built for the everyday desktop user; this processor delivers amazing performance for everything from enthusiast gaming and creation to productivity Thermal solution NOT included in the box. ONLY compatible with 400 series chipset based motherboard.,65,N/A
28,CPU,Core i9-10900X Cascade Lake 3.7GHz Ten-Core LGA 2066 Boxed Processor,499.99,068759,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618409_068759_01_front_thumbnail.jpg,"Boost your desktop's performance with this Intel Core I9-10900X processor. The 3.70GHz base frequency and 4.7GHz Intel Turbo Boost Max 3.0 technology power through demanding applications programs, while the 10 cores deliver smooth performance to help you complete tasks faster. This Intel Core I9-10900X processor features 20 threads that run multithreaded applications at blazing speeds.",165,N/A
29,CPU,Core i9-10900X Cascade Lake 3.7GHz Ten-Core LGA 2066 Boxed Processor,499.99,068759,LGA 2066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/618409_068759_01_front_thumbnail.jpg,"Boost your desktop's performance with this Intel Core I9-10900X processor. The 3.70GHz base frequency and 4.7GHz Intel Turbo Boost Max 3.0 technology power through demanding applications programs, while the 10 cores deliver smooth performance to help you complete tasks faster. This Intel Core I9-10900X processor features 20 threads that run multithreaded applications at blazing speeds.",165,N/A
30,CPU,Core i9-9900 Coffee Lake 3.1GHz Eight-Core LGA 1151 Boxed Processor,289.99,921122,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/605414_921122_01_front_thumbnail.jpg,"The 9th Gen Intel Core processor takes mainstream desktop PC performance to a whole new level. Whether you are a gamer looking for a fantastic in-game experience with the performance headroom for smooth live streaming and seamless highlights recording or you are a creator that is ready to do more creating and sharing, less time waiting, this 9th Gen Intel Core desktop processor is ready to take you to that new level. The Intel Core i9-9900 has a base clock speed of 3.1 GHz and comes with features such as Intel Optane Memory support, Intel Identity Protection Technology, Intel VT-x and Intel VT-d virtualization technologies, and more.",65,N/A
31,CPU,Core i9-9900 Coffee Lake 3.1GHz Eight-Core LGA 1151 Boxed Processor,289.99,921122,LGA 1151,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/605414_921122_01_front_thumbnail.jpg,"The 9th Gen Intel Core processor takes mainstream desktop PC performance to a whole new level. Whether you are a gamer looking for a fantastic in-game experience with the performance headroom for smooth live streaming and seamless highlights recording or you are a creator that is ready to do more creating and sharing, less time waiting, this 9th Gen Intel Core desktop processor is ready to take you to that new level. The Intel Core i9-9900 has a base clock speed of 3.1 GHz and comes with features such as Intel Optane Memory support, Intel Identity Protection Technology, Intel VT-x and Intel VT-d virtualization technologies, and more.",65,N/A
